ISSN	median_precovid	count_precovid	median_noncovid	count_noncovid	median	count	Journal	Rank	Categories	Publisher	covid_completeness	noncovid_completeness	precovid_completeness
1531-8257	116	181	121.5	204	10	19	Movement Disorders	679	Neurology (Q1); Neurology (clinical) (Q1)	John Wiley and Sons Inc.	1	0.995121951219512	0.962765957446809
1537-6613	89	197	99	294	41	49	Journal of Infectious Diseases	680	Immunology and Allergy (Q1); Infectious Diseases (Q1)	Oxford University Press	0.98	0.823529411764706	0.887387387387387
1469-0691	102	207	92	195	41	68	Clinical Microbiology and Infection	682	Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (medical) (Q1)	Elsevier Ltd.	1	0.975	0.981042654028436
1097-6744	181.5	108	166	131	44.5	12	American Heart Journal	709	Cardiology and Cardiovascular Medicine (Q1)	Mosby Inc.	0.923076923076923	0.963235294117647	0.915254237288136
1556-3871	79	193	71	185	20	19	Heart Rhythm	716	Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)	Elsevier	1	1	0.984693877551021
1469-0705	85.5	86	100	138	21	15	Ultrasound in Obstetrics and Gynecology	726	Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Reproductive Medicine (Q1)	John Wiley and Sons Ltd	0.652173913043478	0.926174496644295	0.868686868686869
1523-6838	204	139	214	131	29	16	American Journal of Kidney Diseases	760	Nephrology (Q1)	W.B. Saunders Ltd	1	0.984962406015038	0.945578231292517
1878-5921	148	118	147	162	33	15	Journal of Clinical Epidemiology	798	Epidemiology (Q1)	Elsevier USA	0.9375	0.952941176470588	0.936507936507937
1549-490X	156	249	168	294	29.5	14	Oncologist	840	Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)	AlphaMed Press	1	0.967105263157895	0.996
1931-3543	140	294	169	465	32	57	Chest	856	Cardiology and Cardiovascular Medicine (Q1); Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)	American College of Chest Physicians	0.982758620689655	1	0.98989898989899
1090-2139	131	237	103	183	10	102	Brain, Behavior, and Immunity	857	Behavioral Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Immunology (Q1)	Academic Press Inc.	1	0.973404255319149	0.99163179916318
2042-0226	71	71	48	129	21.5	22	Cellular and Molecular Immunology	864	Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1)	Nature Publishing Group	0.956521739130435	0.984732824427481	0.972602739726027
1708-8305	37	42	50	43	20.5	64	Journal of Travel Medicine	900	Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)	Oxford University Press	0.927536231884058	0.843137254901961	1
1463-1326	92	167	84	167	23	11	Diabetes, Obesity and Metabolism	901	Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)	Wiley-Blackwell Publishing Ltd	1	0.976608187134503	0.976608187134503
1476-5381	179	158	192	183	29.5	20	British Journal of Pharmacology	906	Pharmacology (Q1)	Wiley-Blackwell	0.952380952380952	0.928934010152284	0.951807228915663
1532-8406	101	416	95	481	23	23	Journal of Arthroplasty	916	Orthopedics and Sports Medicine (Q1)	Churchill Livingstone	1	0.987679671457906	0.978823529411765
1945-7197	105	161	91	371	17	10	Journal of Clinical Endocrinology and Metabolism	919	Biochemistry (Q1); Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1)	Endocrine Society	1	0.971204188481675	0.936046511627907
1879-0305	50	26	54	29	22	14	Cytokine and Growth Factor Reviews	946	Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Endocrinology, Diabetes and Metabolism (Q1); Immunology (Q1); Immunology and Allergy (Q1)	Elsevier BV	0.823529411764706	0.966666666666667	1
1096-8652	30	148	42	177	10	26	American Journal of Hematology	954	Hematology (Q1)	Wiley-Liss Inc.	1	0.983333333333333	1
1471-6771	146	250	100.5	214	32.5	84	British Journal of Anaesthesia	969	Anesthesiology and Pain Medicine (Q1)	Elsevier Ltd.	0.988235294117647	0.995348837209302	0.9765625
1466-609X	91	245	93	247	28	181	Critical Care	978	Critical Care and Intensive Care Medicine (Q1)	BioMed Central Ltd.	1	0.928571428571429	0.953307392996109
1838-7640	184	302	163	498	60	11	Theranostics	1000	Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)	Ivyspring International Publisher	1	0.978388998035363	0.996699669966997
1365-2168	175.5	164	106.5	262	33	95	British Journal of Surgery	1031	Surgery (Q1)	John Wiley and Sons Ltd	1	0.925795053003534	0.926553672316384
1873-0183	102.5	88	119	74	18	29	Autoimmunity Reviews	1047	Immunology (Q1); Immunology and Allergy (Q1)	Elsevier	1	0.986666666666667	0.936170212765957
1542-7714	82	323	77	327	19	37	Clinical Gastroenterology and Hepatology	1093	Gastroenterology (Q1); Hepatology (Q1)	W.B. Saunders Ltd	0.973684210526316	0.967455621301775	0.958456973293769
1942-5546	217	247	162	215	47	27	Mayo Clinic Proceedings	1131	Medicine (miscellaneous) (Q1)	Elsevier Science	1	0.99537037037037	0.988
1532-8600	81	87	94	73	13	21	Metabolism: Clinical and Experimental	1177	Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)	W.B. Saunders Ltd	0.91304347826087	0.960526315789474	0.988636363636364
1619-7089	100.5	162	102	203	36	33	European Journal of Nuclear Medicine and Molecular Imaging	1190	Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)	Springer Verlag	0.846153846153846	0.852941176470588	0.964285714285714
1664-3224	141	1623	140	1562	75.5	46	Frontiers in Immunology	1192	Immunology (Q1); Immunology and Allergy (Q1)	Frontiers Media S.A.	1	1	1
1095-9157	81	82	78	63	28.5	10	Journal of Autoimmunity	1200	Immunology (Q1); Immunology and Allergy (Q1)	Academic Press Inc.	1	0.954545454545455	0.987951807228916
1861-0692	98	116	106	96	36	15	Clinical Research in Cardiology	1201	Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1)	D. Steinkopff-Verlag	1	0.932038834951456	0.991452991452991
1879-1972	181.5	180	183.5	208	50.5	16	Journal of Adolescent Health	1202	Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)	Elsevier USA	0.941176470588235	0.995215311004785	1
1879-1190	54	175	61	220	16	27	Journal of the American College of Surgeons	1210	Surgery (Q1)	Elsevier Inc.	1	1	0.994318181818182
1532-8651	117	209	75	138	24	19	Regional Anesthesia and Pain Medicine	1227	Anesthesiology and Pain Medicine (Q1); Medicine (miscellaneous) (Q1)	Lippincott Williams and Wilkins Ltd.	1	0.985714285714286	0.916666666666667
1538-9375	141	204	145	189	52	40	Journal of the American Medical Directors Association	1250	Geriatrics and Gerontology (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1); Nursing (miscellaneous) (Q1)	Elsevier Inc.	0.975609756097561	0.994736842105263	0.980769230769231
1879-0887	174	246	113	259	27	59	Radiotherapy and Oncology	1316	Hematology (Q1); Oncology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)	Elsevier Ireland Ltd	0.983333333333333	0.996153846153846	0.995951417004049
1945-4589	104	366	140	867	63	37	Aging	1324	Aging (Q1); Cell Biology (Q1)	Impact Journals LLC	1	1	0.997275204359673
1532-6535	99.5	168	106	144	17	24	Clinical Pharmacology and Therapeutics	1335	Pharmacology (Q1); Pharmacology (medical) (Q1)	Wiley-Blackwell	0.96	0.813559322033898	0.954545454545455
1532-2742	83.5	98	88	103	13	249	Journal of Infection	1339	Infectious Diseases (Q1); Microbiology (medical) (Q1)	W.B. Saunders Ltd	0.996	1	0.98989898989899
1873-6424	131	881	137	1112	61	11	Environmental Pollution	1355	Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)	Elsevier Ltd.	1	0.996415770609319	0.996606334841629
1573-2517	144	624	177	701	82	16	Journal of Affective Disorders	1379	Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)	Elsevier	1	0.974965229485396	0.990476190476191
1538-7836	118.5	130	100	140	10	45	Journal of Thrombosis and Haemostasis	1401	Hematology (Q1); Medicine (miscellaneous) (Q1)	Wiley-Blackwell Publishing Ltd	0.692307692307692	0.679611650485437	0.896551724137931
1530-8561	122	142	197	125	17	15	Clinical Chemistry	1413	Biochemistry (medical) (Q1); Clinical Biochemistry (Q1)	American Association for Clinical Chemistry Inc.	0.75	0.868055555555556	0.916129032258065
1878-5832	111	139	108	125	26	15	Drug Discovery Today	1444	Drug Discovery (Q1); Pharmacology (Q1)	Elsevier Ltd.	1	0.992063492063492	1
1468-2834	169	63	191	115	31	13	Age and Ageing	1497	Aging (Q1); Geriatrics and Gerontology (Q1); Medicine (miscellaneous) (Q1)	Oxford University Press	0.928571428571429	0.966386554621849	1
1365-2141	126	157	103	309	20	37	British Journal of Haematology	1515	Hematology (Q1)	Wiley-Blackwell Publishing Ltd	0.342592592592593	0.641078838174274	0.471471471471472
1097-6809	242	346	194	391	27	52	Journal of Vascular Surgery	1543	Cardiology and Cardiovascular Medicine (Q1); Surgery (Q1)	Mosby Inc.	1	0.970223325062035	0.966480446927374
1527-974X	183.5	52	150.5	100	13	35	Journal of the American Medical Informatics Association : JAMIA	1547	Health Informatics (Q1)	Oxford University Press	1	0.961538461538461	0.852459016393443
1097-6787	99	511	88	681	22	149	Journal of the American Academy of Dermatology	1571	Dermatology (Q1)	Mosby Inc.	1	0.995614035087719	0.99031007751938
1478-3231	117	129	103	169	24	16	Liver International	1597	Hepatology (Q1)	Wiley-Blackwell Publishing Ltd	0.516129032258065	0.775229357798165	0.914893617021277
1573-2509	142	221	146	268	33	14	Schizophrenia Research	1608	Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)	Elsevier BV	0.933333333333333	0.996282527881041	0.995515695067265
1440-1843	104	159	68	107	28.5	16	Respirology	1665	Pulmonary and Respiratory Medicine (Q1)	Wiley-Blackwell Publishing Ltd	1	0.981651376146789	0.975460122699386
1879-0593	115	179	79.5	240	15	55	Oral Oncology	1718	Cancer Research (Q1); Oncology (Q1); Oral Surgery (Q1)	Elsevier Ltd.	1	1	0.967567567567568
1365-2923	199	51	74	120	27.5	20	Medical Education	1761	Education (Q1); Medicine (miscellaneous) (Q1)	Wiley-Blackwell Publishing Ltd	0.666666666666667	0.621761658031088	0.408
1750-2659	143	27	204	54	29	12	Influenza and other Respiratory Viruses	1765	Epidemiology (Q1); Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Pulmonary and Respiratory Medicine (Q1)	Wiley-Blackwell Publishing Ltd	1	1	0.931034482758621
1916-7075	140	172	150	275	27	37	Canadian Journal of Cardiology	1768	Cardiology and Cardiovascular Medicine (Q1)	Elsevier Inc.	1	0.985663082437276	0.988505747126437
1468-1331	138	119	63	188	19	25	European Journal of Neurology	1772	Neurology (Q1); Neurology (clinical) (Q1)	Wiley-Blackwell Publishing Ltd	0.657894736842105	0.839285714285714	0.952
1664-302X	143.5	1624	147	1704	96	14	Frontiers in Microbiology	1798	Microbiology (Q1); Microbiology (medical) (Q1)	Frontiers Media S.A.	1	1	1
1873-2518	158	582	143	524	68.5	20	Vaccine	1814	Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Molecular Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1)	Elsevier BV	0.952380952380952	0.975791433891992	0.989795918367347
1879-1026	100	3214	99	3861	27.5	152	Science of the Total Environment	1854	Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1)	Elsevier	0.987012987012987	0.98949256791389	0.993201483312732
2234-943X	134	598	152	1174	69	13	Frontiers in Oncology	1867	Oncology (Q1); Cancer Research (Q2)	Frontiers Media S.A.	1	1	1
1476-5365	123	149	118	195	29	10	Bone Marrow Transplantation	1895	Hematology (Q1); Transplantation (Q1)	Nature Publishing Group	0.909090909090909	0.942028985507246	0.908536585365854
1999-4915	40	617	42	669	35.5	42	Viruses	1913	Infectious Diseases (Q1); Virology (Q1)	MDPI Multidisciplinary Digital Publishing Institute	1	0.998507462686567	1
2235-2988	123	251	141	361	81	11	Frontiers in Cellular and Infection Microbiology	1931	Immunology (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1); Microbiology (medical) (Q1)	Frontiers Media S.A.	1	1	1
1469-994X	167	98	175.5	112	12	13	Nicotine and Tobacco Research	1932	Public Health, Environmental and Occupational Health (Q1)	Oxford University Press	1	0.982456140350877	0.97029702970297
1096-1186	94	220	100	310	25	58	Pharmacological Research	1973	Pharmacology (Q1)	Academic Press Inc.	0.966666666666667	0.974842767295597	0.960698689956332
1097-685X	60.5	810	57	796	48	26	Journal of Thoracic and Cardiovascular Surgery	1976	Cardiology and Cardiovascular Medicine (Q1); Pulmonary and Respiratory Medicine (Q1); Surgery (Q1)	Mosby Inc.	1	0.940898345153664	0.917327293318233
1097-6779	114.5	248	123.5	324	14	28	Gastrointestinal Endoscopy	1993	Gastroenterology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)	Mosby Inc.	1	0.987804878048781	0.98804780876494
1872-9096	99	122	122.5	98	28	16	Antiviral Research	1995	Pharmacology (Q1); Virology (Q1)	Elsevier	0.941176470588235	1	0.983870967741936
1432-1084	147	403	142	434	54	55	European Radiology	2032	Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)	Springer Verlag	1	0.973094170403587	0.99017199017199
1532-8414	127	97	138	87	17	10	Journal of Cardiac Failure	2033	Cardiology and Cardiovascular Medicine (Q1)	Churchill Livingstone	0.833333333333333	0.925531914893617	0.915094339622642
1520-7560	150	73	170	102	26	15	Diabetes/Metabolism Research and Reviews	2061	Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)	John Wiley and Sons Ltd	1	0.971428571428571	1
1432-5195	142	93	100	209	26	27	International Orthopaedics	2140	Orthopedics and Sports Medicine (Q1); Surgery (Q1)	Springer Verlag	1	0.981220657276995	0.939393939393939
1449-2288	182	113	169	173	41	13	International Journal of Biological Sciences	2173	Applied Microbiology and Biotechnology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Cell Biology (Q2); Molecular Biology (Q2)	Ivyspring International Publisher	0.928571428571429	1	1
1096-0953	126.5	368	129	682	40	21	Environmental Research	2175	Biochemistry (Q1); Environmental Science (miscellaneous) (Q1)	Academic Press Inc.	1	0.997076023391813	0.997289972899729
1545-7214	83	139	63	101	32	36	American Journal of Geriatric Psychiatry	2181	Geriatrics and Gerontology (Q1); Psychiatry and Mental Health (Q1)	Elsevier Inc.	0.972972972972973	0.990196078431373	0.992857142857143
1865-1682	122	147	122	209	42	20	Transboundary and Emerging Diseases	2194	Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q2)	Wiley-Blackwell Publishing Ltd	0.689655172413793	0.846153846153846	0.954545454545455
1872-7913	131.5	148	133	122	35	59	International Journal of Antimicrobial Agents	2200	Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (medical) (Q1); Pharmacology (medical) (Q1)	Elsevier	0.951612903225806	0.983870967741936	0.980132450331126
1099-1654	112	30	92.5	10	61.5	18	Reviews in Medical Virology	2218	Infectious Diseases (Q1); Virology (Q2)	John Wiley and Sons Ltd	0.947368421052632	0.714285714285714	0.857142857142857
2044-8309	261	21	232.5	28	61.5	12	British Journal of Social Psychology	2219	Social Psychology (Q1)	Wiley-Blackwell	0.923076923076923	0.903225806451613	1
1873-5967	124	73	128	87	22	110	Journal of Clinical Virology	2225	Infectious Diseases (Q1); Virology (Q2)	Elsevier	1	0.97752808988764	1
1532-7361	142	175	136.5	190	36	14	Surgery	2276	Surgery (Q1)	Mosby Inc.	1	0.994764397905759	0.956284153005464
1553-2712	88	59	83	98	10	17	Academic Emergency Medicine	2281	Emergency Medicine (Q1); Medicine (miscellaneous) (Q1)	Wiley-Blackwell	0.607142857142857	0.715328467153285	0.67816091954023
1479-5876	105	227	117	229	40	21	Journal of Translational Medicine	2302	Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)	BioMed Central Ltd.	1	0.94238683127572	1
1468-3083	138	178	103	239	25	35	Journal of the European Academy of Dermatology and Venereology	2369	Dermatology (Q1); Infectious Diseases (Q1)	Wiley-Blackwell	0.28	0.495850622406639	0.493074792243767
1878-3511	73	246	68.5	330	33	209	International Journal of Infectious Diseases	2397	Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (medical) (Q1)	Elsevier	0.995238095238095	1	0.972332015810277
1525-1497	270	178	150	327	44.5	50	Journal of General Internal Medicine	2398	Internal Medicine (Q1)	Springer Nature	0.943396226415094	0.840616966580977	0.589403973509934
1465-993X	129	159	139	172	66	14	Respiratory Research	2400	Pulmonary and Respiratory Medicine (Q1)	BioMed Central Ltd.	1	0.977272727272727	1
1755-3768	192	129	155.5	158	31.5	10	Acta Ophthalmologica	2455	Medicine (miscellaneous) (Q1); Ophthalmology (Q1)	Wiley-Blackwell Publishing Ltd	0.714285714285714	0.951807228915663	0.791411042944785
1872-8227	109.5	200	104	176	21	65	Diabetes Research and Clinical Practice	2510	Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Medicine (miscellaneous) (Q1)	Elsevier Ireland Ltd	0.928571428571429	0.951351351351351	0.966183574879227
1471-2334	219	637	166	496	97	11	BMC Infectious Diseases	2539	Infectious Diseases (Q1)	BioMed Central Ltd.	0.916666666666667	0.976377952755906	1
1097-6760	164.5	200	182.5	146	56.5	14	Annals of Emergency Medicine	2547	Emergency Medicine (Q1)	Mosby Inc.	0.933333333333333	0.941935483870968	0.947867298578199
1532-2157	111	229	101.5	198	13	18	European Journal of Surgical Oncology	2550	Medicine (miscellaneous) (Q1); Oncology (Q1); Surgery (Q1)	W.B. Saunders Ltd	0.947368421052632	0.99	0.987068965517241
1365-2125	140	164	145	241	38	13	British Journal of Clinical Pharmacology	2582	Pharmacology (Q1); Pharmacology (medical) (Q1)	Wiley-Blackwell Publishing Ltd	1	0.991769547325103	0.976190476190476
1537-2995	130	307	139	253	54.5	22	Transfusion	2648	Hematology (Q1); Immunology (Q2); Immunology and Allergy (Q2)	Wiley-Blackwell Publishing Ltd	1	0.976833976833977	0.983974358974359
1876-2867	154	94	149	127	37.5	10	Academic Pediatrics	2667	Pediatrics, Perinatology and Child Health (Q1)	Elsevier Inc.	1	0.9921875	1
1555-7162	44	312	66	329	38.5	14	American Journal of Medicine	2675	Medicine (miscellaneous) (Q1)	Elsevier Inc.	1	0.993957703927492	0.993630573248408
